Satellites, Paused, Filtered, Course, Latitude, Longitude, Altitude, Horz_Accuracy, Vert_Accuracy, Real Speed, Calculated Speed, Last_Distance, Total_Distance
8, false, true, 330.89172, 44.809805, 20.46059, 179.0, 4.45, 5.17, 0.18, 0.0, 0.0, 130.58536
8, false, true, 318.92212, 44.809816, 20.460584, 179.0, 4.45, 5.17, 0.43, 0.0, 0.0, 130.58536
8, false, true, 307.1997, 44.809826, 20.460578, 179.0, 4.45, 5.17, 0.25, 0.0, 0.0, 130.58536
8, false, false, 282.98035, 44.809833, 20.46057, 180.0, 4.45, 5.17, 0.68, 0.68, 8.430988, 139.01634
8, false, true, 272.30713, 44.809837, 20.460561, 180.0, 4.45, 5.17, 0.43, 0.0, 0.0, 139.01634
8, false, true, 285.78735, 44.809845, 20.460552, 180.0, 4.45, 5.17, 0.43, 0.0, 0.0, 139.01634
8, false, false, 314.41223, 44.809869, 20.460543, 180.0, 4.45, 5.17, 0.87, 0.87, 4.535077, 143.55142
8, false, false, 316.0437, 44.809881, 20.460535, 180.0, 4.45, 5.17, 0.62, 0.62, 1.4760855, 145.02751
8, false, true, 306.90308, 44.809889, 20.460529, 180.0, 4.45, 5.17, 0.12, 0.0, 0.0, 145.02751
8, false, false, 308.92453, 44.809897, 20.460521, 180.0, 4.45, 5.17, 0.62, 0.62, 2.0947587, 147.12227
8, false, false, 317.14233, 44.809907, 20.460512, 180.0, 4.45, 5.17, 0.62, 0.62, 1.3197869, 148.44206
8, false, true, 319.15833, 44.809916, 20.460503, 181.0, 4.45, 5.17, 0.37, 0.0, 0.0, 148.44206
8, false, false, 319.28467, 44.809927, 20.460492, 181.0, 4.45, 5.17, 0.87, 0.87, 2.7281773, 151.17024
8, false, false, 322.08618, 44.809939, 20.460479, 181.0, 4.45, 5.17, 0.87, 0.87, 1.6840162, 152.85426
8, false, false, 320.00977, 44.809967, 20.460451, 181.0, 4.45, 5.17, 1.0, 1.0, 3.8194475, 156.6737
8, false, true, 301.78894, 44.809976, 20.460441, 181.0, 4.45, 5.17, 0.43, 0.0, 0.0, 156.6737
8, false, false, 310.62195, 44.809987, 20.460429, 181.0, 4.45, 5.17, 1.06, 1.06, 2.822873, 159.49658
8, false, false, 314.14853, 44.81, 20.460418, 182.0, 4.45, 5.17, 0.81, 0.81, 1.6864947, 161.18307
9, false, false, 312.8192, 44.810015, 20.460407, 182.0, 4.45, 4.92, 1.18, 1.18, 1.8803811, 163.06346
9, false, false, 305.5957, 44.810029, 20.460392, 182.0, 4.45, 4.92, 1.43, 1.43, 1.9566609, 165.02013
8, false, false, 317.93335, 44.810045, 20.460378, 182.0, 4.45, 4.92, 1.37, 1.37, 2.0947573, 167.11488
8, false, false, 324.4757, 44.810061, 20.460367, 182.0, 4.45, 4.92, 1.37, 1.37, 1.9795618, 169.09445
8, false, true, 315.49988, 44.810067, 20.460356, 182.0, 4.45, 4.92, 0.31, 0.0, 0.0, 169.09445
8, false, false, 305.89233, 44.810088, 20.460336, 182.0, 4.45, 4.92, 0.56, 0.56, 3.8751242, 172.96957
8, false, false, 311.3086, 44.810097, 20.460324, 182.0, 4.45, 4.92, 0.81, 0.81, 1.378928, 174.3485
8, false, false, 314.81873, 44.810107, 20.460312, 182.0, 4.45, 4.92, 0.81, 0.81, 1.4615339, 175.81003
8, false, false, 312.06665, 44.810116, 20.460301, 182.0, 4.45, 4.92, 0.56, 0.56, 1.3257111, 177.13574
8, false, true, 312.06665, 44.810116, 20.460301, 182.0, 4.45, 4.92, 0.56, 0.0, 0.0, 177.13574
8, false, false, 309.57825, 44.81015, 20.460273, 183.0, 4.45, 4.92, 0.87, 0.87, 4.3797426, 181.51549
8, false, false, 309.9408, 44.810163, 20.460261, 183.0, 4.45, 4.92, 0.93, 0.93, 1.7286386, 183.24413
8, false, false, 320.64697, 44.810179, 20.460253, 183.0, 4.45, 4.92, 1.18, 1.18, 1.8873163, 185.13144
8, false, false, 322.3828, 44.810194, 20.460245, 184.0, 4.45, 4.92, 0.81, 0.81, 1.7830114, 186.91444
8, false, false, 317.6422, 44.810203, 20.460231, 184.0, 4.45, 4.92, 0.87, 0.87, 1.4922628, 188.40671
8, false, false, 309.03442, 44.810223, 20.460208, 184.0, 4.23, 4.92, 0.75, 0.75, 2.8723147, 191.27902
8, false, false, 311.4734, 44.810231, 20.460194, 184.0, 4.23, 4.92, 0.87, 0.87, 1.4201783, 192.6992
8, false, false, 304.7058, 44.810236, 20.460178, 184.0, 4.23, 4.92, 0.87, 0.87, 1.3822987, 194.0815
8, false, false, 307.66663, 44.810242, 20.460164, 184.0, 4.23, 4.92, 0.93, 0.93, 1.2927186, 195.37422
8, false, false, 311.26465, 44.81025, 20.460151, 183.0, 4.23, 4.92, 0.81, 0.81, 1.3593909, 196.73361
8, false, false, 316.41724, 44.810259, 20.46014, 183.0, 4.23, 4.92, 0.81, 0.81, 1.3257098, 198.05933
